Które miasto jest stolicą Polski?;Warszawa;Kraków;Wrocław;Gdańsk;0;Geografia
Który kontynent jest największy pod względem powierzchni?;Europa;Azja;Afryka;Ameryka Południowa;1;Geografia
Jak nazywa się najwyższy szczyt na Ziemi?;K2;Mont Blanc;Mount Everest;Kilimandżaro;2;Geografia
Która planeta w Układzie Słonecznym jest największa?;Saturn;Uran;Neptun;Jowisz;3;Astronomia
Jak nazywa się galaktyka, w której znajduje się Ziemia?;Droga Mleczna;Andromeda;Karłowata Galaktyka Strzelca;Wielka Mgławica;0;Astronomia
Która planeta jest najbliżej Słońca?;Wenus;Merkury;Mars;Ziemia;1;Astronomia
Jak nazywa się proces, w którym rośliny przekształcają światło słoneczne w energię?;Oddychanie komórkowe;Fermentacja;Fotosynteza;Glukoneogeneza;2;Biologia
Który organ w ludzkim ciele odpowiada za pompowanie krwi?;Wątroba;Płuca;Mózg;Serce;3;Biologia
Jakie zwierzę jest największe na świecie?;Płetwal błękitny;Słoń;Rekin wielorybi;Żyrafa;0;Biologia
Który pierwiastek ma symbol H?;Hel;Wodór;Azot;Tlen;1;Chemia
Który kwas jest składnikiem octu?;Kwas siarkowy;Kwas fosforowy;Kwas octowy;Kwas solny;2;Chemia
Który pierwiastek jest podstawowym składnikiem diamentu?;Krzem;Cynk;Srebro;Węgiel;3;Chemia
Kto jest reżyserem filmu 'Człowiek z marmuru'?;Andrzej Wajda;Roman Polański;Krzysztof Kieślowski;Agnieszka Holland;0;Film polski
Który polski film zdobył Oscara?;Cicha noc;Ida;Katyń;Pan Tadeusz;1;Film polski
Kto jest twórcą trylogii filmowej 'Dekalog'?;Andrzej Wajda;Agnieszka Holland;Krzysztof Kieślowski;Jerzy Hoffman;2;Film polski
Która reprezentacja wygrała Mistrzostwa Świata w Piłce Nożnej w 2018 roku?;Niemcy;Brazylia;Argentyna;Francja;3;Piłka nożna
Jak nazywa się polski piłkarz, który zdobył Złotą Piłkę?;Robert Lewandowski;Zbigniew Boniek;Grzegorz Lato;Kazimierz Deyna;0;Piłka nożna
Który klub piłkarski wygrał najwięcej Lig Mistrzów?;FC Barcelona;Real Madryt;AC Milan;Bayern Monachium;1;Piłka nożna
Która ryba jest typowym drapieżnikiem?;Karaś;Leszcz;Pstrąg;Karp;2;Wędkarstwo
Jak nazywa się metoda połowu na sztuczną przynętę?;Wędkarstwo gruntowe;Metoda odległościowa;Trolling;Spinning;3;Wędkarstwo
Jak nazywa się przyrząd do ważenia złowionych ryb?;Waga wędkarska;Podbierak;Wędka;Kołowrotek;0;Wędkarstwo
Kto jest prezydentem Polski w 2024 roku?;Lech Wałęsa;Andrzej Duda;Aleksander Kwaśniewski;Donald Tusk;1;Polityka
Które państwo posiada najwięcej miejsc w ONZ?;Chiny;Indie;Stany Zjednoczone;Rosja;2;Polityka
Jak nazywa się główna siedziba Parlamentu Europejskiego?;Paryż;Berlin;Strasburg;Bruksela;3;Polityka
Jakie jest największe jezioro w Polsce?;Śniardwy;Mamry;Hańcza;Niegocin;0;Geografia
Który kraj graniczy z Polską na zachodzie?;Niemcy;Czechy;Słowacja;Litwa;0;Geografia
Które pasmo górskie znajduje się na południu Polski?;Tatry;Sudety;Karpaty;Bieszczady;0;Geografia
Jak nazywa się najmniejsza planeta w Układzie Słonecznym?;Merkury;Mars;Wenus;Pluton;0;Astronomia
Która planeta jest znana z systemu pierścieni?;Saturn;Jowisz;Neptun;Uran;0;Astronomia
Jak nazywa się najbliższy Ziemi obiekt astronomiczny?;Księżyc;Mars;Wenus;Merkury;0;Astronomia
Jakie zwierzę jest nazywane królem dżungli?;Lew;Tygrys;Słoń;Goryl;0;Biologia
Jak nazywa się nauka o roślinach?;Botanika;Zoologia;Ekologia;Genetyka;0;Biologia
Który zmysł odpowiada za wykrywanie dźwięków?;Słuch;Wzrok;Dotyk;Smak;0;Biologia
Jak nazywa się symbol chemiczny dla złota?;Au;Ag;Fe;Cu;0;Chemia
Który pierwiastek ma symbol O?;Tlen;Wodór;Azot;Hel;0;Chemia
Co to jest H2O?;Woda;Tlenek wodoru;Para wodna;Sól;0;Chemia
Kto zagrał główną rolę w filmie 'Człowiek z żelaza'?;Jerzy Radziwiłowicz;Zbigniew Cybulski;Daniel Olbrychski;Andrzej Seweryn;0;Film polski
Który polski reżyser stworzył film 'Noce i dnie'?;Jerzy Antczak;Andrzej Wajda;Agnieszka Holland;Krzysztof Zanussi;0;Film polski
Który polski aktor zdobył Oscara za rolę w filmie 'Pianista'?;Adrien Brody;Roman Polański;Janusz Gajos;Bogusław Linda;0;Film polski
Która drużyna zdobyła najwięcej tytułów Mistrza Świata w piłce nożnej?;Brazylia;Niemcy;Włochy;Argentyna;0;Piłka nożna
Kto jest rekordzistą pod względem liczby zdobytych Złotych Piłek?;Lionel Messi;Cristiano Ronaldo;Johan Cruyff;Michel Platini;0;Piłka nożna
Jak nazywa się stadion narodowy w Polsce?;PGE Narodowy;Stadion Śląski;Stadion Legii;Arena Gdańsk;0;Piłka nożna
Który gatunek ryb jest typowo uznawany za rybę słodkowodną?;Karp;Dorsz;Halibut;Łosoś;0;Wędkarstwo
Jak nazywa się urządzenie do nawijania żyłki?;Kołowrotek;Wędzisko;Haczyk;Podbierak;0;Wędkarstwo
Jak nazywa się metoda łowienia ryb z brzegu?;Wędkarstwo gruntowe;Spinning;Trolling;Fly fishing;0;Wędkarstwo
Jak nazywa się główny organ ustawodawczy w Polsce?;Sejm;Senat;Trybunał Konstytucyjny;Rada Ministrów;0;Polityka
Który kraj opuścił Unię Europejską w 2020 roku?;Wielka Brytania;Francja;Niemcy;Włochy;0;Polityka
Jak nazywa się polska konstytucja z 1791 roku?;Konstytucja 3 maja;Konstytucja kwietniowa;Konstytucja marcowa;Konstytucja sierpniowa;0;Polityka
Jak nazywa się najwyższy szczyt Afryki?;Kilimandżaro;Mount Kenya;Ruwenzori;Atlas;0;Geografia
Które morze jest nazywane najbardziej zasolonym?;Morze Martwe;Morze Śródziemne;Morze Bałtyckie;Morze Kaspijskie;0;Geografia
Jakie miasto jest stolicą Niemiec?;Berlin;Monachium;Frankfurt;Hamburg;0;Geografia
Która planeta Układu Słonecznego ma największą liczbę księżyców?;Jowisz;Saturn;Mars;Uran;0;Astronomia
Co to jest supernowa?;Eksplozja gwiazdy;Rodzaj galaktyki;Typ planety;Czarna dziura;0;Astronomia
Jak nazywa się drugi pod względem jasności obiekt na nocnym niebie po Księżycu?;Wenus;Jowisz;Mars;Syriusz;0;Astronomia
Które zwierzę jest najszybsze na lądzie?;Gepard;Antylopa;Lew;Królik;0;Biologia
Jak nazywa się proces, w którym zwierzęta przechodzą zmiany w wyglądzie w czasie rozwoju?;Metamorfoza;Adaptacja;Fotosynteza;Regeneracja;0;Biologia
Jakie są podstawowe jednostki budulcowe organizmów żywych?;Komórki;Tkanki;Narządy;Organizmy;0;Biologia
Który pierwiastek ma symbol C?;Węgiel;Wapń;Cynk;Chrom;0;Chemia
Który związek chemiczny jest głównym składnikiem soli kuchennej?;Chlorek sodu;Wodorowęglan sodu;Siarczan sodu;Azotan sodu;0;Chemia
Która mieszanina jest jednorodna?;Powietrze;Woda z piaskiem;Olej i woda;Puder do twarzy;0;Chemia
Kto jest reżyserem filmu 'Rejs'?;Marek Piwowski;Andrzej Wajda;Roman Polański;Krzysztof Kieślowski;0;Film polski
Który polski aktor grał w filmie 'Krótki film o miłości'?;Olaf Lubaszenko;Bogusław Linda;Zbigniew Cybulski;Jan Nowicki;0;Film polski
Który film polskiego reżysera zdobył Złotą Palmę w Cannes?;Człowiek z żelaza;Dekalog;Ida;Pokot;0;Film polski
Który polski piłkarz grał w Bayernie Monachium?;Robert Lewandowski;Zbigniew Boniek;Grzegorz Lato;Kazimierz Deyna;0;Piłka nożna
Kto był trenerem reprezentacji Polski w piłce nożnej na Euro 2016?;Adam Nawałka;Jerzy Brzęczek;Paulo Sousa;Franciszek Smuda;0;Piłka nożna
Który piłkarz jest znany jako 'El Fenomeno'?;Ronaldo Nazário;Lionel Messi;Diego Maradona;Cristiano Ronaldo;0;Piłka nożna
Który rodzaj wędkowania wymaga sztucznej muchy?;Fly fishing;Trolling;Spinning;Wędkarstwo gruntowe;0;Wędkarstwo
Jakie jest najczęściej używane tworzywo do produkcji wędek?;Włókno węglowe;Drewno;Stal;Aluminium;0;Wędkarstwo
Co oznacza termin 'brać' w wędkarstwie?;Ryba ciągnie przynętę;Ryba pływa obok;Wędka jest zanurzona;Przynęta jest zmieniana;0;Wędkarstwo
Kto jest przewodniczącym Rady Europejskiej w 2024 roku?;Charles Michel;Ursula von der Leyen;Donald Tusk;Angela Merkel;0;Polityka
Który dokument jest podstawą prawną Unii Europejskiej?;Traktat Lizboński;Traktat z Maastricht;Traktat Rzymski;Traktat Amsterdamski;0;Polityka
Jak nazywa się premier Polski w 2024 roku?;Mateusz Morawiecki;Donald Tusk;Jarosław Kaczyński;Beata Szydło;0;Polityka